Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,132951,7645836,7406599.0,67380,65417.0,113.47,113.22,21,24.0,1,1,,/Date(1509955200000)/,True,U2,2967,U2,/artist/u2-2967
2,132987,6509596,6275320.0,66081,64396.0,98.51,97.45,25,28.0,2,2,Paradigm Talent Agency,/Date(1509955200000)/,True,Coldplay,43809,Coldplay,/artist/coldplay-43809
3,132889,4255803,,42581,,99.94,0.0,27,,3,3,United Talent Agency / International Talent Booking,/Date(1509955200000)/,True,Guns N' Roses,32570,Guns N' Roses,/artist/guns-n-roses-32570
4,132878,3967399,3800791.0,28197,26937.0,140.7,141.1,15,17.0,4,4,ICM Partners,/Date(1509955200000)/,True,Celine Dion,45018,Celine Dion,/artist/celine-dion-45018
5,132906,3466727,3466727.0,29370,29370.0,118.04,118.04,15,15.0,5,5,Creative Artists Agency,/Date(1509955200000)/,True,Lady Gaga,74180,Lady Gaga,/artist/lady-gaga-74180
6,132967,2573949,2675543.0,33695,34575.0,76.39,77.38,19,19.0,6,6,WME,/Date(1509955200000)/,True,Depeche Mode,40673,Depeche Mode,/artist/depeche-mode-40673
7,132948,2409291,,23096,,104.32,0.0,13,,New,7,,/Date(1509955200000)/,True,Tom Petty & The Heartbreakers,4216,Tom Petty & The Heartbreakers,/artist/tom-petty-the-heartbreakers-4216
8,132891,2360514,2262621.0,20281,19608.0,116.39,115.39,33,35.0,7,8,WME,/Date(1509955200000)/,True,Bruno Mars,143992,Bruno Mars,/artist/bruno-mars-143992
9,132986,1948220,1857933.0,15902,15019.0,122.51,123.7,30,32.0,8,9,WME,/Date(1509955200000)/,True,Roger Waters,12078,Roger Waters,/artist/roger-waters-12078
10,132975,1434340,1380144.0,16743,15996.0,85.67,86.28,38,39.0,10,10,Paradigm Talent Agency,/Date(1509955200000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
11,132936,1243344,1243344.0,12698,12698.0,97.91,97.91,16,16.0,12,11,Creative Artists Agency,/Date(1509955200000)/,True,Queen + Adam Lambert,14115,Queen + Adam Lambert,/artist/queen-adam-lambert-14115
12,132929,1220753,1220753.0,13641,13641.0,89.49,89.49,19,19.0,13,12,WME,/Date(1509955200000)/,True,Kendrick Lamar,156275,Kendrick Lamar,/artist/kendrick-lamar-156275
13,132881,1204165,1201051.0,14221,14156.0,84.67,84.84,37,37.0,14,13,Creative Artists Agency,/Date(1509955200000)/,True,Tim McGraw / Faith Hill,4554,Tim McGraw,/artist/tim-mcgraw-4554
14,132914,1113597,1082649.0,20909,20809.0,53.26,52.03,24,27.0,15,14,WME,/Date(1509955200000)/,True,Florida Georgia Line,155860,Florida Georgia Line,/artist/florida-georgia-line-155860
15,132983,1082026,1082026.0,21572,21572.0,50.16,50.16,25,25.0,16,15,Creative Artists Agency,/Date(1509955200000)/,True,Zac Brown Band,456,Zac Brown Band,/artist/zac-brown-band-456
16,132910,1052624,878994.0,13164,11113.0,79.96,79.1,24,29.0,19,16,ICM Partners,/Date(1509955200000)/,True,J. Cole,133106,J. Cole,/artist/j-cole-133106
17,132956,1024871,1054470.0,18973,19323.0,54.02,54.57,24,24.0,17,17,WME,/Date(1509955200000)/,True,Luke Bryan,72091,Luke Bryan,/artist/luke-bryan-72091
18,132947,1024421,1002328.0,8187,8023.0,125.12,124.92,17,18.0,18,18,ICM Partners (Comedy),/Date(1509955200000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
19,132990,878299,878299.0,13280,13280.0,66.14,66.14,32,32.0,20,19,Creative Artists Agency,/Date(1509955200000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
20,132887,873981,745207.0,8231,7027.0,106.18,106.05,14,13.0,24,20,,/Date(1509955200000)/,True,Marco Antonio Solis,22736,Marco Antonio Solis,/artist/marco-antonio-solis-22736
21,132966,862425,864036.0,13220,13207.0,65.23,65.42,16,19.0,21,21,Creative Artists Agency,/Date(1509955200000)/,True,Iron Maiden,30375,Iron Maiden,/artist/iron-maiden-30375
22,132920,770644,770644.0,16659,16659.0,46.26,46.26,13,13.0,22,22,WME,/Date(1509955200000)/,True,Jason Aldean,30325,Jason Aldean,/artist/jason-aldean-30325
23,132961,770111,770111.0,10075,10075.0,76.43,76.43,15,15.0,23,23,Creative Artists Agency,/Date(1509955200000)/,True,Lionel Richie,24607,Lionel Richie,/artist/lionel-richie-24607
