Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,146284,3329623,,23277,,143.04,0.0,11,,New,1,WME,/Date(1525676400000)/,True,Justin Timberlake,27685,Justin Timberlake,/artist/justin-timberlake-27685
2,146260,2239784,2263095.0,4401,4448.0,508.88,508.75,14,13.0,2,2, / Creative Artists Agency,/Date(1525676400000)/,True,"""Springsteen On Broadway""",556161,"""Springsteen On Broadway""",/artist/springsteen-on-broadway-556161
3,146314,1680266,1700379.0,20219,20465.0,83.1,83.09,11,12.0,3,3,Cirque du Soleil,/Date(1525676400000)/,True,"Cirque du Soleil - ""Totem""",226955,"Cirque du Soleil - ""Totem""",/artist/cirque-du-soleil-totem-226955
4,146251,1575062,1575062.0,15477,15477.0,101.76,101.76,11,11.0,4,4,Angelo Medina Group,/Date(1525676400000)/,True,Romeo Santos,164499,Romeo Santos,/artist/romeo-santos-164499
5,146309,1489005,1489005.0,16756,16756.0,88.86,88.86,15,15.0,5,5,WME,/Date(1525676400000)/,True,Kendrick Lamar,156275,Kendrick Lamar,/artist/kendrick-lamar-156275
6,146264,1013261,,12390,,81.77,0.0,11,,New,6,WME,/Date(1525676400000)/,True,Kevin Hart,232828,Kevin Hart,/artist/kevin-hart-232828
7,146232,1000971,1000971.0,12448,12448.0,80.41,80.41,20,20.0,6,7,Creative Artists Agency,/Date(1525676400000)/,True,Demi Lovato,89120,Demi Lovato,/artist/demi-lovato-89120
8,146300,997285,997285.0,12758,12758.0,78.17,78.17,14,14.0,7,8,Messina Touring Group,/Date(1525676400000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
9,146255,907234,743199.0,15304,12254.0,59.28,60.65,17,16.0,11,9,WME,/Date(1525676400000)/,True,The Killers,27029,The Killers,/artist/the-killers-27029
10,146240,889672,,9929,,89.6,0.0,11,,New,10,Creative Artists Agency,/Date(1525676400000)/,True,Kid Rock,26969,Kid Rock,/artist/kid-rock-26969
11,146317,879098,874285.0,11911,11874.0,73.8,73.63,20,19.0,8,11,Creative Artists Agency,/Date(1525676400000)/,True,Harry Styles,315762,Harry Styles,/artist/harry-styles-315762
12,146233,828979,,13528,,61.28,0.0,11,,New,12,Paradigm Talent Agency,/Date(1525676400000)/,True,Imagine Dragons,134346,Imagine Dragons,/artist/imagine-dragons-134346
13,146342,779149,779149.0,9589,9589.0,81.25,81.25,14,14.0,9,13,Creative Artists Agency,/Date(1525676400000)/,True,Lana Del Rey,134109,Lana Del Rey,/artist/lana-del-rey-134109
14,146276,775724,767443.0,8725,8539.0,88.9,89.87,27,30.0,10,14,,/Date(1525676400000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
15,146211,663753,663753.0,10470,10470.0,63.39,63.39,11,11.0,12,15,Contra Promotion,/Date(1525676400000)/,True,Sunrise Avenue,67517,Sunrise Avenue,/artist/sunrise-avenue-67517
16,146299,583098,583098.0,9971,9971.0,58.47,58.47,24,24.0,13,16,WME,/Date(1525676400000)/,True,Miranda Lambert,20486,Miranda Lambert,/artist/miranda-lambert-20486
17,146241,550141,,9332,,58.95,0.0,12,,New,17,Paradigm Talent Agency,/Date(1525676400000)/,True,Stereophonics,7099,Stereophonics,/artist/stereophonics-7099
18,146311,537174,537174.0,8591,8591.0,62.53,62.53,12,12.0,14,18,The Sixth House,/Date(1525676400000)/,True,Gloria Trevi / Alejandra Guzman,34054,Gloria Trevi,/artist/gloria-trevi-34054
19,146250,529448,529448.0,6495,6495.0,81.51,81.51,11,11.0,15,19,13 Artists,/Date(1525676400000)/,True,A-ha,52247,A-ha,/artist/a-ha-52247
20,146217,521483,526226.0,7252,7520.0,71.9,69.98,36,29.0,16,20,,/Date(1525676400000)/,True,"""Soy Luna Live""",478829,"""Soy Luna Live""",/artist/soy-luna-live-478829
21,146339,462741,486084.0,6212,5626.0,74.48,86.4,13,11.0,17,21,Cardenas Marketing Network,/Date(1525676400000)/,True,Bad Bunny,323105,Bad Bunny,/artist/bad-bunny-323105
