Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,101005,4378036,,49388,,88.64,0.0,10,,New,1,Creative Artists Agency,/Date(1496646000000)/,True,Justin Bieber,130405,Justin Bieber,/artist/justin-bieber-130405
2,101004,1959318,1959318.0,21681,21681.0,90.37,90.37,18,18.0,1,2,WME,/Date(1496646000000)/,True,Drake,39372,Drake,/artist/drake-39372
3,101006,1371757,1391391.0,15643,15898.0,87.69,87.52,31,29.0,2,3,WME,/Date(1496646000000)/,True,Red Hot Chili Peppers,13471,Red Hot Chili Peppers,/artist/red-hot-chili-peppers-13471
4,100992,1339817,1333261.0,15195,15482.0,88.17,86.11,24,23.0,3,4,Creative Artists Agency,/Date(1496646000000)/,True,Bon Jovi,47178,Bon Jovi,/artist/bon-jovi-47178
5,101002,1140434,955407.0,17210,15252.0,66.26,62.64,15,15.0,7,5,WME,/Date(1496646000000)/,True,The Weeknd,168538,The Weeknd,/artist/the-weeknd-168538
6,101001,1088455,1088455.0,18089,18089.0,60.17,60.17,13,13.0,5,6,Creative Artists Agency,/Date(1496646000000)/,True,Olly Murs,137764,Olly Murs,/artist/olly-murs-137764
7,100987,1000470,1000470.0,12564,12564.0,79.62,79.62,16,16.0,6,7,Creative Artists Agency,/Date(1496646000000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
8,100986,864876,858978.0,14276,14237.0,60.58,60.33,57,54.0,8,8,WME,/Date(1496646000000)/,True,Eric Church,36859,Eric Church,/artist/eric-church-36859
9,100985,843404,843404.0,8915,8915.0,94.6,94.6,17,17.0,9,9,Creative Artists Agency,/Date(1496646000000)/,True,Stevie Nicks,7373,Stevie Nicks,/artist/stevie-nicks-7373
10,100996,842167,842167.0,11000,11000.0,76.56,76.56,30,30.0,10,10,Creative Artists Agency,/Date(1496646000000)/,True,Ariana Grande,167474,Ariana Grande,/artist/ariana-grande-167474
11,100994,723045,723045.0,11640,11640.0,62.11,62.11,13,13.0,11,11,Messina Touring Group,/Date(1496646000000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
12,100981,692087,692087.0,10925,10925.0,63.35,63.35,16,16.0,12,12,Creative Artists Agency,/Date(1496646000000)/,True,Kings Of Leon,26370,Kings Of Leon,/artist/kings-of-leon-26370
13,100980,650913,656313.0,11332,11468.0,57.44,57.23,33,32.0,13,13,Creative Artists Agency,/Date(1496646000000)/,True,Green Day,33284,Green Day,/artist/green-day-33284
14,100979,599670,622064.0,6318,6548.0,94.91,95.0,18,17.0,14,14,ICM Partners (Comedy),/Date(1496646000000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
15,100990,582970,582970.0,7540,7540.0,77.31,77.31,13,13.0,15,15,Creative Artists Agency,/Date(1496646000000)/,True,Journey,27980,Journey,/artist/journey-27980
16,100988,544483,544483.0,11381,11381.0,47.84,47.84,34,34.0,16,16,Creative Artists Agency,/Date(1496646000000)/,True,Twenty One Pilots,146126,Twenty One Pilots,/artist/twenty-one-pilots-146126
17,100975,542717,542717.0,6445,6445.0,84.2,84.2,15,15.0,17,17,Patriot Artists Agency,/Date(1496646000000)/,True,Bryan Adams,46813,Bryan Adams,/artist/bryan-adams-46813
18,100973,525723,525723.0,7641,7641.0,68.8,68.8,22,22.0,18,18,,/Date(1496646000000)/,True,"""Game Of Thrones Live Concert Experience""",217165,"""Game Of Thrones Live Concert Experience""",/artist/game-of-thrones-live-concert-experience-217165
19,100984,490802,524720.0,12523,13372.0,39.19,39.24,14,12.0,19,19,Creative Artists Agency (Comedy),/Date(1496646000000)/,True,Jack Whitehall,229804,Jack Whitehall,/artist/jack-whitehall-229804
20,100983,485216,490375.0,7296,7430.0,66.5,65.99,30,29.0,21,20,ICM Partners,/Date(1496646000000)/,True,Charlie Wilson,44603,Charlie Wilson,/artist/charlie-wilson-44603
21,100982,461831,461831.0,9652,9652.0,47.85,47.85,29,29.0,22,21,Creative Artists Agency,/Date(1496646000000)/,True,Panic! At The Disco,16961,Panic! At The Disco,/artist/panic-at-the-disco-16961
22,100969,432379,493107.0,7186,7894.0,60.17,62.46,29,30.0,20,22,WME,/Date(1496646000000)/,True,"""The Illusionists""",226798,"""The Illusionists""",/artist/the-illusionists-226798
23,100968,419699,419699.0,9101,9101.0,46.11,46.11,32,32.0,23,23,Paradigm Talent Agency,/Date(1496646000000)/,True,The Lumineers,149243,The Lumineers,/artist/the-lumineers-149243
24,100967,419666,419666.0,5282,5282.0,79.44,79.44,34,34.0,24,24,,/Date(1496646000000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
25,100978,416592,416592.0,5936,5936.0,70.17,70.17,14,14.0,25,25,United Talent Agency,/Date(1496646000000)/,True,Sebastian Maniscalco,233099,Sebastian Maniscalco,/artist/sebastian-maniscalco-233099
26,100977,406770,384044.0,5074,4599.0,80.16,83.5,37,35.0,26,26,Creative Artists Agency,/Date(1496646000000)/,True,Sting,7220,Sting,/artist/sting-7220
27,100962,367375,367375.0,8043,8043.0,45.67,45.67,16,16.0,27,27,United Talent Agency,/Date(1496646000000)/,True,Craig David,43868,Craig David,/artist/craig-david-43868
28,100961,367054,367054.0,8425,8425.0,43.56,43.56,13,13.0,28,28,Peter Rieger Konzertagentur & Co. KG,/Date(1496646000000)/,True,Philipp Poisel,103811,Philipp Poisel,/artist/philipp-poisel-103811
29,100972,307468,307468.0,7694,7694.0,39.96,39.96,14,14.0,29,29,WME,/Date(1496646000000)/,True,Thomas Rhett,166349,Thomas Rhett,/artist/thomas-rhett-166349
30,100971,303698,303698.0,7275,7275.0,41.74,41.74,25,25.0,30,30,Artist Group International,/Date(1496646000000)/,True,"Michael Flatley's ""Lord Of The Dance""",231948,"Michael Flatley's ""Lord Of The Dance""",/artist/michael-flatleys-lord-of-the-dance-231948
31,100970,301768,300377.0,5171,5088.0,58.35,59.03,30,29.0,31,31,Abhann Productions Ltd.,/Date(1496646000000)/,True,"""Riverdance""",233037,"""Riverdance""",/artist/riverdance-233037
32,100957,288447,253606.0,4732,3492.0,60.95,72.62,17,15.0,34,32,Creative Artists Agency,/Date(1496646000000)/,True,Maluma,201532,Maluma,/artist/maluma-201532
33,100956,274137,276057.0,2698,2731.0,101.6,101.05,15,14.0,33,33,Creative Artists Agency (Comedy),/Date(1496646000000)/,True,Billy Crystal,232362,Billy Crystal,/artist/billy-crystal-232362
34,100965,252634,289329.0,5634,6406.0,44.84,45.16,34,35.0,32,34,United Talent Agency,/Date(1496646000000)/,True,Jeff Dunham,232711,Jeff Dunham,/artist/jeff-dunham-232711
35,100951,231894,235818.0,3730,3695.0,62.17,63.81,18,21.0,35,35,ICM Partners,/Date(1496646000000)/,True,"""Dancing With The Stars""",231510,"""Dancing With The Stars""",/artist/dancing-with-the-stars-231510
36,100950,217777,217777.0,5915,5915.0,36.82,36.82,27,27.0,36,36,Creative Artists Agency,/Date(1496646000000)/,True,Brantley Gilbert,47392,Brantley Gilbert,/artist/brantley-gilbert-47392
37,100949,214935,214935.0,2184,2184.0,98.38,98.38,12,12.0,37,37,WME,/Date(1496646000000)/,True,Steve Aoki ,72064,Steve Aoki,/artist/steve-aoki-72064
