Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,106474,2015620,1959318.0,22116,21681.0,91.13,90.37,17,18.0,1,1,WME,/Date(1499065200000)/,True,Drake,39372,Drake,/artist/drake-39372
2,106473,1772145,1903055.0,21573,22054.0,82.14,86.29,21,12.0,2,2,Paradigm Talent Agency,/Date(1499065200000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
3,106471,1402068,1423970.0,15867,16086.0,88.36,88.52,27,26.0,3,3,WME,/Date(1499065200000)/,True,Red Hot Chili Peppers,13471,Red Hot Chili Peppers,/artist/red-hot-chili-peppers-13471
4,106457,1389061,1389061.0,15922,15922.0,87.24,87.24,25,25.0,4,4,Creative Artists Agency,/Date(1499065200000)/,True,Bon Jovi,47178,Bon Jovi,/artist/bon-jovi-47178
5,106467,1261977,1289990.0,12440,12678.0,101.44,101.74,14,13.0,5,5,The Howard Rose Agency / ICO ApS,/Date(1499065200000)/,True,Elton John ,37957,Elton John,/artist/elton-john-37957
6,106466,1254662,1270622.0,17008,17511.0,73.77,72.56,20,19.0,6,6,WME,/Date(1499065200000)/,True,The Weeknd,168538,The Weeknd,/artist/the-weeknd-168538
7,106464,1088455,1088455.0,18089,18089.0,60.17,60.17,13,13.0,7,7,Creative Artists Agency,/Date(1499065200000)/,True,Olly Murs,137764,Olly Murs,/artist/olly-murs-137764
8,106451,1088274,1088274.0,12601,12601.0,86.36,86.36,22,22.0,8,8,Creative Artists Agency,/Date(1499065200000)/,True,Tim McGraw / Faith Hill,4554,Tim McGraw,/artist/tim-mcgraw-4554
9,106462,1047122,1047122.0,13777,13777.0,76.0,76.0,17,17.0,9,9,Creative Artists Agency,/Date(1499065200000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
10,106461,992591,992591.0,13965,13965.0,71.07,71.07,16,16.0,10,10,Creative Artists Agency,/Date(1499065200000)/,True,Iron Maiden,30375,Iron Maiden,/artist/iron-maiden-30375
11,106460,904108,906643.0,14832,14875.0,60.95,60.95,50,53.0,11,11,WME,/Date(1499065200000)/,True,Eric Church,36859,Eric Church,/artist/eric-church-36859
12,106459,874647,,10244,,85.38,0.0,12,,New,12,Artist Group International,/Date(1499065200000)/,True,Def Leppard,41191,Def Leppard,/artist/def-leppard-41191
13,106458,869026,868743.0,11705,11628.0,74.24,74.71,33,32.0,12,13,Creative Artists Agency,/Date(1499065200000)/,True,Ariana Grande,167474,Ariana Grande,/artist/ariana-grande-167474
14,106456,842075,843404.0,8884,8915.0,94.78,94.6,18,17.0,13,14,Creative Artists Agency,/Date(1499065200000)/,True,Stevie Nicks,7373,Stevie Nicks,/artist/stevie-nicks-7373
15,106455,734089,665564.0,8075,7815.0,90.91,85.16,19,18.0,17,15,Creative Artists Agency,/Date(1499065200000)/,True,Journey,27980,Journey,/artist/journey-27980
16,106454,723045,723045.0,11640,11640.0,62.11,62.11,13,13.0,15,16,Messina Touring Group,/Date(1499065200000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
17,106453,685406,685672.0,11412,11429.0,60.06,59.99,31,32.0,16,17,Creative Artists Agency,/Date(1499065200000)/,True,Green Day,33284,Green Day,/artist/green-day-33284
18,106439,648324,741068.0,10881,11024.0,59.58,67.22,15,12.0,14,18,Creative Artists Agency,/Date(1499065200000)/,True,Kings Of Leon,26370,Kings Of Leon,/artist/kings-of-leon-26370
19,106450,644252,644252.0,11646,11646.0,55.32,55.32,13,13.0,18,19,CLG - Cara Lewis Group,/Date(1499065200000)/,True,Chance The Rapper,168015,Chance The Rapper,/artist/chance-the-rapper-168015
20,106448,550936,550421.0,11586,11522.0,47.55,47.77,25,30.0,19,20,Creative Artists Agency,/Date(1499065200000)/,True,Twenty One Pilots,146126,Twenty One Pilots,/artist/twenty-one-pilots-146126
21,106447,539652,539652.0,13486,13486.0,40.01,40.01,13,13.0,21,21,Creative Artists Agency (Comedy),/Date(1499065200000)/,True,Jack Whitehall,229804,Jack Whitehall,/artist/jack-whitehall-229804
22,106446,525723,525723.0,7641,7641.0,68.8,68.8,22,22.0,23,22,,/Date(1499065200000)/,True,"""Game Of Thrones Live Concert Experience""",217165,"""Game Of Thrones Live Concert Experience""",/artist/game-of-thrones-live-concert-experience-217165
23,106433,522070,535985.0,8324,8459.0,62.72,63.36,12,11.0,22,23,Creative Artists Agency,/Date(1499065200000)/,True,The Chainsmokers,150182,The Chainsmokers,/artist/the-chainsmokers-150182
24,106444,504820,541650.0,5214,5492.0,96.81,98.62,17,16.0,20,24,ICM Partners (Comedy),/Date(1499065200000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
25,106443,499263,499263.0,5998,5998.0,83.23,83.23,17,17.0,24,25,Patriot Artists Agency,/Date(1499065200000)/,True,Bryan Adams,46813,Bryan Adams,/artist/bryan-adams-46813
26,106442,485216,485216.0,7296,7296.0,66.5,66.5,30,30.0,25,26,ICM Partners,/Date(1499065200000)/,True,Charlie Wilson,44603,Charlie Wilson,/artist/charlie-wilson-44603
27,106441,483579,483579.0,6393,6393.0,75.63,75.63,18,18.0,26,27,,/Date(1499065200000)/,True,Tini Stoessel,189581,Tini Stoessel,/artist/tini-stoessel-189581
28,106440,474980,422143.0,5982,5220.0,79.39,80.86,36,24.0,29,28,,/Date(1499065200000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
29,106427,472734,467422.0,9880,9731.0,47.85,48.03,29,30.0,27,29,Creative Artists Agency,/Date(1499065200000)/,True,Panic! At The Disco,16961,Panic! At The Disco,/artist/panic-at-the-disco-16961
30,106438,426936,426936.0,5194,5194.0,82.2,82.2,39,39.0,28,30,Creative Artists Agency,/Date(1499065200000)/,True,Sting,7220,Sting,/artist/sting-7220
31,106437,409968,413583.0,8672,8894.0,47.27,46.5,25,29.0,30,31,Paradigm Talent Agency,/Date(1499065200000)/,True,The Lumineers,149243,The Lumineers,/artist/the-lumineers-149243
32,106435,390226,390226.0,5649,5649.0,69.08,69.08,13,13.0,32,32,Ariel Rivas Entertainment,/Date(1499065200000)/,True,Carlos Vives,45477,Carlos Vives,/artist/carlos-vives-45477
33,106421,368166,368166.0,8070,8070.0,45.62,45.62,16,16.0,33,33,United Talent Agency,/Date(1499065200000)/,True,Craig David,43868,Craig David,/artist/craig-david-43868
34,106432,367054,367054.0,8425,8425.0,43.56,43.56,13,13.0,34,34,Peter Rieger Konzertagentur & Co. KG,/Date(1499065200000)/,True,Philipp Poisel,103811,Philipp Poisel,/artist/philipp-poisel-103811
35,106431,366281,409854.0,8094,8972.0,45.25,45.68,14,12.0,31,35,Paradigm Talent Agency,/Date(1499065200000)/,True,The xx,119737,The xx,/artist/the-xx-119737
36,106430,357625,,4957,,72.13,0.0,12,,New,36,APA,/Date(1499065200000)/,True,Frankie Valli And The Four Seasons,36101,Frankie Valli And The Four Seasons,/artist/frankie-valli-and-the-four-seasons-36101
37,106429,350178,350178.0,5626,5626.0,62.24,62.24,13,13.0,35,37,Creative Artists Agency (Comedy),/Date(1499065200000)/,True,Gabriel Iglesias,232630,Gabriel Iglesias,/artist/gabriel-iglesias-232630
38,106428,337812,320646.0,5986,5588.0,56.42,57.38,22,25.0,36,38,WME,/Date(1499065200000)/,True,"""The Illusionists""",226798,"""The Illusionists""",/artist/the-illusionists-226798
39,106415,333354,315985.0,7899,7509.0,42.2,42.08,20,22.0,37,39,Artist Group International,/Date(1499065200000)/,True,"Michael Flatley's ""Lord Of The Dance""",231948,"Michael Flatley's ""Lord Of The Dance""",/artist/michael-flatleys-lord-of-the-dance-231948
40,106426,312433,312433.0,7822,7822.0,39.94,39.94,15,15.0,38,40,WME,/Date(1499065200000)/,True,Thomas Rhett,166349,Thomas Rhett,/artist/thomas-rhett-166349
41,106424,298188,298188.0,5259,5259.0,56.7,56.7,18,18.0,39,41,Creative Artists Agency,/Date(1499065200000)/,True,Maluma,201532,Maluma,/artist/maluma-201532
42,106423,290060,290060.0,2886,2886.0,100.48,100.48,14,14.0,41,42,Creative Artists Agency (Comedy),/Date(1499065200000)/,True,Billy Crystal,232362,Billy Crystal,/artist/billy-crystal-232362
43,106422,287438,294644.0,3788,3836.0,75.87,76.79,15,14.0,40,43,United Talent Agency,/Date(1499065200000)/,True,Sebastian Maniscalco,233099,Sebastian Maniscalco,/artist/sebastian-maniscalco-233099
44,106409,286943,286999.0,5024,5010.0,57.11,57.28,27,29.0,42,44,Abhann Productions Ltd.,/Date(1499065200000)/,True,"""Riverdance""",233037,"""Riverdance""",/artist/riverdance-233037
45,106419,253421,253421.0,2863,2863.0,88.51,88.51,12,12.0,43,45,Creative Artists Agency,/Date(1499065200000)/,True,Il Volo,158585,Il Volo,/artist/il-volo-158585
46,106417,228793,214935.0,2269,2184.0,100.8,98.38,11,12.0,47,46,WME,/Date(1499065200000)/,True,Steve Aoki ,72064,Steve Aoki,/artist/steve-aoki-72064
47,106416,228332,251170.0,4972,5576.0,45.92,45.04,23,30.0,44,47,United Talent Agency,/Date(1499065200000)/,True,Jeff Dunham,232711,Jeff Dunham,/artist/jeff-dunham-232711
48,106414,222036,222036.0,5995,5995.0,37.03,37.03,28,28.0,45,48,Creative Artists Agency,/Date(1499065200000)/,True,Brantley Gilbert,47392,Brantley Gilbert,/artist/brantley-gilbert-47392
49,106413,216581,216952.0,3246,3226.0,66.71,67.24,21,19.0,46,49, / Triple Platinum,/Date(1499065200000)/,True,Julianne Hough / Derek Hough,72166,Julianne Hough,/artist/julianne-hough-72166
50,106412,201241,201241.0,6615,6615.0,30.42,30.42,22,22.0,48,50, / Creative Artists Agency,/Date(1499065200000)/,True,"""Worship Night In America"" / Chris Tomlin",0,"""Worship Night In America""",
51,106411,189988,189988.0,6630,6630.0,28.65,28.65,31,31.0,49,51, / Creative Artists Agency,/Date(1499065200000)/,True,"""Hits Deep Tour"" / TobyMac",0,"""Hits Deep Tour""",
52,106410,186222,186222.0,3326,3326.0,55.98,55.98,14,14.0,50,52,InHouse Booking,/Date(1499065200000)/,True,Let It Be - Beatles Tribute,180090,Let It Be - Beatles Tribute,/artist/let-it-be-beatles-tribute-180090
