Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,248987,12284751,12005015.0,54333,52801.0,226.1,227.36,11,13.0,1,1,,/Date(1572246000000)/,True,The Rolling Stones,12116,The Rolling Stones,/artist/the-rolling-stones-12116
2,249072,8869753,8532087.0,92173,92659.0,96.23,92.08,8,10.0,2,2,Paradigm Talent Agency,/Date(1572246000000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
3,249058,5061967,5164485.0,52618,54515.0,96.2,94.73,12,14.0,3,3,Artist Group International,/Date(1572246000000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
4,249015,4642437,4757549.0,44222,45337.0,104.98,104.94,13,17.0,4,4,Marshall Arts,/Date(1572246000000)/,True,Pink,15935,Pink,/artist/pink-15935
5,249059,2695139,2559592.0,18317,18448.0,147.13,138.74,8,11.0,6,5,Creative Artists Agency,/Date(1572246000000)/,True,Jennifer Lopez,29383,Jennifer Lopez,/artist/jennifer-lopez-29383
6,249052,1880178,1909414.0,15501,15591.0,121.29,122.46,11,10.0,7,6,Creative Artists Agency,/Date(1572246000000)/,True,Queen + Adam Lambert,14115,Queen + Adam Lambert,/artist/queen-adam-lambert-14115
7,249043,1771402,1771402.0,16057,16193.0,110.32,109.39,30,30.0,8,7,United Talent Agency,/Date(1572246000000)/,True,Jonas Brothers,28484,Jonas Brothers,/artist/jonas-brothers-28484
8,248978,1710067,1710067.0,26313,26313.0,64.99,64.99,11,11.0,9,8,WME,/Date(1572246000000)/,True,Zac Brown Band,456,Zac Brown Band,/artist/zac-brown-band-456
9,249012,1663142,1663142.0,13041,13041.0,127.53,127.53,10,10.0,10,9,Artist Group International,/Date(1572246000000)/,True,Def Leppard,41191,Def Leppard,/artist/def-leppard-41191
10,248977,1531910,1485348.0,15160,14034.0,101.05,105.84,33,31.0,12,10,WME,/Date(1572246000000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
11,249041,1426399,1433430.0,12781,12684.0,111.6,113.0,15,17.0,13,11,Beaver Productions,/Date(1572246000000)/,True,Michael Bublé,21052,Michael Bublé,/artist/michael-bubl-21052
12,249038,1328478,1302714.0,19309,19531.0,68.8,66.7,34,33.0,14,12,WME,/Date(1572246000000)/,True,Florida Georgia Line,155860,Florida Georgia Line,/artist/florida-georgia-line-155860
